requested_date,stock_code,stock_name,market_date,financial_report_date,current_price,daily_change_pct,bps,eps,roe,net_profit,profit_growth_yoy,dividend_per_share,payout_ratio,dividend_yield,pb_current,pe_current,nim,npl_ratio,provision_coverage,provision_coverage_report_date,provision_coverage_source,cet1_ratio,capital_adequacy_ratio,net_interest_spread,loan_provision_ratio,loan_to_deposit_ratio,bank_special_metrics_report_date,bank_special_metrics_source,risk_free_rate,equity_risk_premium,beta,long_term_growth,roe_trend,nim_change,npl_ratio_change,provision_coverage_change,dividend_stable
2023-12-08,sh.601328,交通银行,2023-12-08,2023-09-30,5.71,,11.938688249696305,1.258034,0.08847066666666666,69680000000.0,0.024239,0.373,0.29649437137629026,0.06532399299474606,0.478277,4.538828044393076,0.013000000000000001,0.0132,1.9890999999999999,2023-09-30,AKShare / Eastmoney financial indicators,0.0998,0.1465,None,0.0263,0.9154500634935702,2023-09-30,AKShare / Eastmoney financial indicators,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
2026-06-25,sh.601328,交通银行,2026-06-24,2026-03-31,6.63,,13.175361477866188,1.09108,0.08176,26388000000.0,0.030017,0.1563,0.14325255709938775,0.02357466063348416,0.503212,6.076548007478828,0.0123,0.013000000000000001,2.028,2026-03-31,AKShare / Eastmoney financial indicators,0.1125,0.1561,,,,2026-03-31,AKShare / Eastmoney financial indicators,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
2026-07-02,sh.601328,交通银行,2026-07-02,2026-03-31,6.51,0.01086956521739113,13.175363891002704,1.09108,0.08176,26388000000.0,0.030017,0.1563,0.14325255709938775,0.02400921658986175,0.494104,5.966565238112695,0.0123,0.013000000000000001,2.028,2026-03-31,AKShare / Eastmoney financial indicators,0.1125,0.1561,None,0.0263,0.9751449796171053,2026-03-31,AKShare / Eastmoney financial indicators,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
2026-07-04,sh.601328,交通银行,2026-07-03,2026-03-31,6.51,0.0,13.175363891002704,1.09108,0.08176,26388000000.0,0.030017,0.1563,0.14325255709938775,0.02400921658986175,0.494104,5.966565238112695,0.0123,0.013000000000000001,2.028,2026-03-31,AKShare / Eastmoney financial indicators,0.1125,0.1561,None,0.0263,0.9751449796171053,2026-03-31,AKShare / Eastmoney financial indicators,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
