date,close,pb
2016-10-27,20.72,1.562358
2016-10-28,22.79,1.718443
2016-10-31,25.07,1.890363
2016-11-01,27.58,2.079625
2016-11-02,29.06,2.191222
2016-11-03,27.76,2.093198
2016-11-04,26.93,2.030613
2016-11-07,26.76,2.017794
2016-11-08,26.72,2.014778
2016-11-09,25.75,1.941637
2016-11-10,26.73,2.015532
2016-11-11,26.57,2.003468
2016-11-14,26.99,2.035137
2016-11-15,26.67,2.011008
2016-11-16,26.53,2.000452
2016-11-17,26.05,1.964258
2016-11-18,25.59,1.929573
2016-11-21,25.45,1.919016
2016-11-22,25.53,1.925048
2016-11-23,25.45,1.919016
2016-11-24,24.75,1.866234
2016-11-25,24.63,1.857185
2016-11-28,24.76,1.866988
2016-11-29,23.95,1.805911
2016-11-30,23.29,1.756145
2016-12-01,23.46,1.768963
2016-12-02,23.16,1.746342
2016-12-05,23.33,1.759161
2016-12-06,23.45,1.768209
2016-12-07,23.5,1.771979
2016-12-08,24.01,1.810435
2016-12-09,23.97,1.807419
2016-12-12,22.75,1.715427
2016-12-13,22.32,1.683003
2016-12-14,22.15,1.670185
2016-12-15,22.24,1.676971
2016-12-16,22.16,1.670939
2016-12-19,21.77,1.641532
2016-12-20,21.54,1.624189
2016-12-21,21.83,1.646056
2016-12-22,21.61,1.629467
2016-12-23,21.38,1.612124
2016-12-26,21.45,1.617403
2016-12-27,21.21,1.599306
2016-12-28,21.03,1.585733
2016-12-29,21.01,1.584225
2016-12-30,20.95,1.579701
2017-01-03,21.13,1.593273
2017-01-04,21.31,1.606846
2017-01-05,21.2,1.598552
2017-01-06,20.88,1.574423
2017-01-09,20.94,1.578947
2017-01-10,20.78,1.566882
2017-01-11,20.29,1.529935
2017-01-12,19.96,1.505051
2017-01-13,19.64,1.480922
2017-01-16,19.63,1.480168
2017-01-17,19.72,1.486955
2017-01-18,19.38,1.461318
2017-01-19,19.45,1.466596
2017-01-20,19.74,1.488463
2017-01-23,19.76,1.489971
2017-01-24,19.69,1.484693
2017-01-25,19.7,1.485447
2017-01-26,20.15,1.519378
2017-02-03,19.89,1.499773
2017-02-06,20.1,1.515608
2017-02-07,19.92,1.502035
2017-02-08,20.1,1.515608
2017-02-09,20.11,1.516362
2017-02-10,20.53,1.548031
2017-02-13,21.24,1.601568
2017-02-14,21.03,1.585733
2017-02-15,21.64,1.631729
2017-02-16,21.93,1.653596
2017-02-17,21.23,1.600814
2017-02-20,23.13,1.74408
2017-02-21,22.61,1.70487
2017-02-22,22.25,1.677725
2017-02-23,22.29,1.680741
2017-02-24,22.34,1.684512
2017-02-27,21.81,1.644548
2017-02-28,22.95,1.730508
2017-03-01,22.59,1.703362
2017-03-02,23.14,1.744834
2017-03-03,22.57,1.701854
2017-03-06,22.67,1.709395
2017-03-07,22.98,1.73277
2017-03-08,22.81,1.719951
2017-03-09,22.49,1.695822
2017-03-10,22.26,1.678479
2017-03-13,22.58,1.702608
2017-03-14,22.39,1.688282
2017-03-15,22.2,1.673955
2017-03-16,22.79,1.718443
2017-03-17,22.32,1.683003
2017-03-20,22.55,1.700346
2017-03-21,22.57,1.701854
2017-03-22,21.92,1.652842
2017-03-23,21.88,1.649826
2017-03-24,21.83,1.646056
2017-03-27,21.99,1.65812
2017-03-28,21.95,1.655104
2017-03-29,21.41,1.614386
2017-03-30,20.64,1.556326
2017-03-31,22.7,1.711657
2017-04-05,22.93,1.729
2017-04-06,22.72,1.713165
2017-04-07,22.7,1.711657
2017-04-10,22.11,1.667169
2017-04-11,22.77,1.716935
2017-04-12,22.08,1.664907
2017-04-13,21.84,1.64681
2017-04-14,21.48,1.619665
2017-04-17,21.04,1.586487
2017-04-18,20.92,1.577439
2017-04-19,21.37,1.45053
2017-04-20,20.89,1.417949
2017-04-21,21.08,1.430846
2017-04-24,21.06,1.429488
2017-04-25,21.31,1.446457
2017-04-26,21.38,1.408447
2017-04-27,21.3,1.403177
2017-04-28,21.38,1.408447
2017-05-02,21.11,1.39066
2017-05-03,21.45,1.413058
2017-05-04,21.68,1.42821
2017-05-05,21.6,1.42294
2017-05-08,21.59,1.422281
2017-05-09,22.85,1.505286
2017-05-10,23.22,1.52966
2017-05-11,22.62,1.490134
2017-05-12,23.7,1.561281
2017-05-15,23.56,1.552058
2017-05-16,23.3,1.53493
2017-05-17,22.85,1.505286
2017-05-18,22.06,1.453243
2017-05-19,21.62,1.424257
2017-05-22,21.56,1.420305
2017-05-23,21.68,1.42821
2017-05-24,20.54,1.35311
2017-05-25,21.11,1.39066
2017-05-26,20.94,1.379461
2017-05-31,21.35,1.40647
2017-06-01,21.6,1.42294
2017-06-02,22.29,1.468395
2017-06-05,22.07,1.453902
2017-06-06,15.44,1.423994
2017-06-07,15.69,1.447051
2017-06-08,15.59,1.437828
2017-06-09,15.49,1.428605
2017-06-12,15.36,1.416615
2017-06-13,15.38,1.41846
2017-06-14,15.03,1.38618
2017-06-15,15.14,1.396325
2017-06-16,14.95,1.378802
2017-06-19,15.01,1.384336
2017-06-20,15.02,1.385258
2017-06-21,15.02,1.385258
2017-06-22,15.16,1.39817
2017-06-23,14.95,1.378802
2017-06-26,14.99,1.382491
2017-06-27,14.97,1.380647
2017-06-28,15.05,1.388025
2017-06-29,14.98,1.381569
2017-06-30,14.85,1.369579
2017-07-03,14.88,1.372346
2017-07-04,14.75,1.360357
2017-07-05,14.76,1.361279
2017-07-06,14.69,1.354823
2017-07-07,14.74,1.359434
2017-07-10,14.62,1.348367
2017-07-11,14.75,1.360357
2017-07-12,14.92,1.376035
2017-07-13,15.1,1.392636
2017-07-14,15.01,1.384336
2017-07-17,15.32,1.412926
2017-07-18,15.27,1.408315
2017-07-19,15.62,1.440595
2017-07-20,15.49,1.428605
2017-07-21,15.26,1.407393
2017-07-24,15.4,1.420305
2017-07-25,15.1,1.392636
2017-07-26,14.98,1.381569
2017-07-27,14.99,1.382491
2017-07-28,14.89,1.373268
2017-07-31,14.85,1.369579
2017-08-01,15.13,1.395403
2017-08-02,15.1,1.392636
2017-08-03,14.91,1.375113
2017-08-04,14.79,1.364046
2017-08-07,14.86,1.370502
2017-08-08,14.81,1.36589
2017-08-09,14.66,1.352056
2017-08-10,14.7,1.355745
2017-08-11,14.42,1.329922
2017-08-14,14.46,1.333611
2017-08-15,14.55,1.341911
2017-08-16,14.5,1.3373
2017-08-17,14.6,1.346522
2017-08-18,14.61,1.347445
2017-08-21,14.62,1.348367
2017-08-22,14.56,1.342833
2017-08-23,14.68,1.353901
2017-08-24,14.5,1.3373
2017-08-25,14.67,1.352978
2017-08-28,15.09,1.376663
2017-08-29,14.91,1.360241
2017-08-30,14.86,1.35568
2017-08-31,14.95,1.36389
2017-09-01,14.89,1.358417
2017-09-04,14.79,1.349294
2017-09-05,14.79,1.349294
2017-09-06,14.82,1.35203
2017-09-07,14.71,1.341995
2017-09-08,14.69,1.340171
2017-09-11,14.71,1.341995
2017-09-12,14.61,1.332872
2017-09-13,14.57,1.329223
2017-09-14,14.49,1.321924
2017-09-15,14.53,1.325574
2017-09-18,14.55,1.327398
2017-09-19,14.59,1.331048
2017-09-20,14.57,1.329223
2017-09-21,14.52,1.324661
2017-09-22,14.48,1.321012
2017-09-25,14.24,1.299117
2017-09-26,14.15,1.290906
2017-09-27,14.11,1.287257
2017-09-28,14.0,1.277222
2017-09-29,13.93,1.270836
2017-10-09,13.99,1.276309
2017-10-10,13.97,1.274485
2017-10-11,13.95,1.27266
2017-10-12,13.87,1.265362
2017-10-13,13.94,1.271748
2017-10-16,13.95,1.27266
2017-10-17,13.9,1.268099
2017-10-18,13.77,1.256239
2017-10-19,13.37,1.219747
2017-10-20,13.38,1.220659
2017-10-23,13.23,1.206975
2017-10-24,12.97,1.183255
2017-10-25,13.05,1.190553
2017-10-26,12.99,1.185079
2017-10-27,13.09,1.194202
2017-10-30,12.83,1.139403
2017-10-31,12.86,1.142067
2017-11-01,12.96,1.150948
2017-11-02,13.07,1.160717
2017-11-03,12.93,1.148284
2017-11-06,12.93,1.148284
2017-11-07,13.1,1.163381
2017-11-08,13.07,1.160717
2017-11-09,13.08,1.161605
2017-11-10,12.94,1.149172
2017-11-13,13.15,1.167821
2017-11-14,12.96,1.150948
2017-11-15,12.92,1.147396
2017-11-16,12.32,1.094111
2017-11-17,12.27,1.089671
2017-11-20,12.2,1.083454
2017-11-21,12.27,1.089671
2017-11-22,12.29,1.091447
2017-11-23,11.89,1.055924
2017-11-24,11.88,1.055036
2017-11-27,11.62,1.031946
2017-11-28,11.82,1.049707
2017-11-29,11.98,1.063916
2017-11-30,12.04,1.069245
2017-12-01,11.96,1.06214
2017-12-04,11.82,1.049707
2017-12-05,11.79,1.047043
2017-12-06,11.72,1.040826
2017-12-07,11.74,1.042602
2017-12-08,11.79,1.047043
2017-12-11,11.8,1.047931
2017-12-12,11.63,1.032834
2017-12-13,11.6,1.030169
2017-12-14,11.59,1.029281
2017-12-15,11.46,1.017736
2017-12-18,11.41,1.013296
2017-12-19,11.45,1.016848
2017-12-20,11.23,0.99731
2017-12-21,11.21,0.995534
2017-12-22,11.09,0.984877
2017-12-25,11.19,0.993758
2017-12-26,11.62,1.031946
2017-12-27,11.67,1.036386
2017-12-28,11.7,1.03905
2017-12-29,11.53,1.023953
2018-01-02,11.65,1.03461
2018-01-03,11.72,1.040826
2018-01-04,11.94,1.060364
2018-01-05,11.88,1.055036
2018-01-08,11.88,1.055036
2018-01-09,11.85,1.052371
2018-01-10,11.84,1.051483
2018-01-11,11.73,1.041714
2018-01-12,11.67,1.036386
2018-01-15,11.69,1.038162
2018-01-16,11.96,1.06214
2018-01-17,12.24,1.087006
2018-01-18,12.44,1.104768
2018-01-19,12.9,1.145619
2018-01-22,12.6,1.118977
2018-01-23,12.93,1.148284
2018-01-24,12.93,1.148284
2018-01-25,12.63,1.121641
2018-01-26,12.74,1.13141
2018-01-29,12.78,1.134962
2018-01-30,12.52,1.111872
2018-01-31,12.52,1.111872
2018-02-01,12.15,1.079014
2018-02-02,12.34,1.095887
2018-02-05,12.95,1.15006
2018-02-06,12.47,1.107432
2018-02-07,12.6,1.118977
2018-02-08,12.2,1.083454
2018-02-09,11.37,1.009744
2018-02-12,11.45,1.016848
2018-02-13,11.65,1.03461
2018-02-14,11.71,1.039938
2018-02-22,11.84,1.051483
2018-02-23,11.88,1.055036
2018-02-26,12.04,1.069245
2018-02-27,11.8,1.047931
2018-02-28,11.75,1.043491
2018-03-01,11.79,1.047043
2018-03-02,11.69,1.038162
2018-03-05,11.64,1.033722
2018-03-06,11.75,1.043491
2018-03-07,11.73,1.041714
2018-03-08,11.72,1.040826
2018-03-09,11.84,1.051483
2018-03-12,11.91,1.0577
2018-03-13,11.82,1.049707
2018-03-14,11.67,1.036386
2018-03-15,11.6,1.030169
2018-03-16,11.57,1.027505
2018-03-19,11.57,1.027505
2018-03-20,11.59,1.029281
2018-03-21,11.58,1.028393
2018-03-22,11.51,1.022177
2018-03-23,11.07,0.983101
2018-03-26,11.05,0.981325
2018-03-27,11.14,0.989318
2018-03-28,11.23,0.99731
2018-03-29,11.33,1.006191
2018-03-30,11.29,1.002639
2018-04-02,11.28,1.001751
2018-04-03,11.08,0.983989
2018-04-04,11.12,0.987542
2018-04-09,11.16,0.991094
2018-04-10,11.39,1.01152
2018-04-11,11.45,1.016848
2018-04-12,11.44,1.01596
2018-04-13,11.32,1.005303
2018-04-16,11.1,0.985765
2018-04-17,11.09,0.984877
2018-04-18,11.15,0.990206
2018-04-19,11.21,0.995534
2018-04-20,11.01,0.977773
2018-04-23,11.09,0.984877
2018-04-24,11.21,0.995534
2018-04-25,11.1,0.985765
2018-04-26,11.04,0.980437
2018-04-27,11.4,0.95648
2018-05-02,11.5,0.96487
2018-05-03,11.5,0.96487
2018-05-04,11.37,0.953963
2018-05-07,11.52,0.966548
2018-05-08,11.57,0.970743
2018-05-09,11.64,0.976616
2018-05-10,11.58,0.971582
2018-05-11,11.56,0.969904
2018-05-14,11.69,0.980812
2018-05-15,11.75,0.985846
2018-05-16,11.6,0.97326
2018-05-17,11.72,0.983329
2018-05-18,11.85,0.994236
2018-05-21,11.89,0.997592
2018-05-22,11.87,0.995914
2018-05-23,11.68,0.979973
2018-05-24,11.78,0.988363
2018-05-25,11.67,0.979134
2018-05-28,11.55,0.969065
2018-05-29,11.73,0.984168
2018-05-30,11.47,0.962353
2018-05-31,11.72,0.983329
2018-06-01,11.78,0.988363
2018-06-04,11.81,0.99088
2018-06-05,11.76,0.986685
2018-06-06,11.72,0.983329
2018-06-07,11.83,0.992558
2018-06-08,11.67,0.979134
2018-06-11,11.85,0.994236
2018-06-12,11.86,0.995075
2018-06-13,11.67,0.979134
2018-06-14,11.53,0.967387
2018-06-15,11.55,0.969065
2018-06-19,11.07,0.928792
2018-06-20,11.01,0.923758
2018-06-21,11.0,0.922919
2018-06-22,11.04,0.926275
2018-06-25,10.9,0.914529
2018-06-26,10.82,0.907817
2018-06-27,10.85,0.910334
2018-06-28,10.87,0.912012
2018-06-29,11.09,0.930471
2018-07-02,10.92,0.916207
2018-07-03,11.05,0.927114
2018-07-04,7.55,0.886842
2018-07-05,7.31,0.858651
2018-07-06,7.43,0.872746
2018-07-09,7.58,0.890365
2018-07-10,7.6,0.892715
2018-07-11,7.56,0.888016
2018-07-12,7.68,0.902112
2018-07-13,7.65,0.898588
2018-07-16,7.59,0.89154
2018-07-17,7.71,0.905636
2018-07-18,7.68,0.902112
2018-07-19,7.69,0.903286
2018-07-20,8.0,0.9397
2018-07-23,8.03,0.943224
2018-07-24,8.21,0.964367
2018-07-25,8.14,0.956144
2018-07-26,8.14,0.956144
2018-07-27,8.08,0.949097
2018-07-30,8.12,0.953795
2018-07-31,8.13,0.95497
2018-08-01,7.94,0.932652
2018-08-02,7.85,0.92208
2018-08-03,7.8,0.916207
2018-08-06,7.83,0.919731
2018-08-07,7.97,0.936176
2018-08-08,7.89,0.926779
2018-08-09,8.03,0.943224
2018-08-10,8.05,0.945573
2018-08-13,7.97,0.936176
2018-08-14,7.9,0.927953
2018-08-15,7.79,0.915033
2018-08-16,7.77,0.912683
2018-08-17,7.71,0.905636
2018-08-20,7.73,0.907985
2018-08-21,7.76,0.911509
2018-08-22,7.71,0.905636
2018-08-23,7.71,0.905636
2018-08-24,7.87,0.92443
2018-08-27,7.99,0.938525
2018-08-28,7.94,0.932652
2018-08-29,7.95,0.933827
2018-08-30,7.94,0.932652
