requested_date,stock_code,stock_name,market_date,financial_report_date,current_price,daily_change_pct,bps,eps,roe,net_profit,profit_growth_yoy,dividend_per_share,payout_ratio,dividend_yield,pb_current,pe_current,nim,npl_ratio,provision_coverage,provision_coverage_report_date,provision_coverage_source,cet1_ratio,capital_adequacy_ratio,net_interest_spread,loan_provision_ratio,loan_to_deposit_ratio,bank_special_metrics_report_date,bank_special_metrics_source,risk_free_rate,equity_risk_premium,beta,long_term_growth,roe_trend,nim_change,npl_ratio_change,provision_coverage_change,dividend_stable
2026-02-05,sh.601166,兴业银行,2026-02-05,2025-09-30,19.38,0.010427528675703845,36.766589073607165,3.651776,0.09490266666666666,63344000000.0,0.005939,1.06,0.29026972081529645,0.05469556243550052,0.527109,5.30700678245325,0.0172,0.0108,2.2781000000000002,2025-09-30,AKShare / Eastmoney financial indicators,0.0966,0.13849999999999998,0.015,0.0246,1.0265927645509787,2025-09-30,AKShare / Eastmoney financial indicators,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
2026-06-24,sh.601166,兴业银行,2026-06-24,2026-03-31,17.12,,39.216943918853914,3.662313,0.105088,23876000000.0,-0.00259,2.126,0.5805074552611968,0.1241822429906542,0.436546,4.674641408312179,0.016200000000000003,0.0108,2.2452,2026-03-31,AKShare / Eastmoney financial indicators,0.095,0.132,,,,2026-03-31,AKShare / Eastmoney financial indicators,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
2026-07-02,sh.601166,兴业银行,2026-07-02,2026-03-31,17.06,0.021556886227544814,39.21694834212994,3.662313,0.105088,23876000000.0,-0.00259,1.0659999999999998,0.2910728820829896,0.06248534583821805,0.435016,4.658258319264355,0.016200000000000003,0.0108,2.2452,2026-03-31,AKShare / Eastmoney financial indicators,0.095,0.132,0.0143,0.0241,1.0262330374608095,2026-03-31,AKShare / Eastmoney financial indicators,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
2026-07-04,sh.601166,兴业银行,2026-07-03,2026-03-31,17.01,-0.0029308323563890237,39.216952052031054,3.662313,0.105088,23876000000.0,-0.00259,1.0659999999999998,0.2910728820829896,0.06266901822457377,0.433741,4.644605745057837,0.016200000000000003,0.0108,2.2452,2026-03-31,AKShare / Eastmoney financial indicators,0.095,0.132,0.0143,0.0241,1.0262330374608095,2026-03-31,AKShare / Eastmoney financial indicators,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
2026-07-05,sh.601166,兴业银行,2026-07-03,2026-03-31,17.01,-0.0029308323563890237,39.216952052031054,3.662313,0.105088,23876000000.0,-0.00259,1.0659999999999998,0.2910728820829896,0.06266901822457377,0.433741,4.644605745057837,0.016200000000000003,0.0108,2.2452,2026-03-31,AKShare / Eastmoney financial indicators,0.095,0.132,0.0143,0.0241,1.0262330374608095,2026-03-31,AKShare / Eastmoney financial indicators,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
