requested_date,stock_code,stock_name,market_date,financial_report_date,current_price,daily_change_pct,bps,eps,roe,net_profit,profit_growth_yoy,dividend_per_share,payout_ratio,dividend_yield,pb_current,pe_current,nim,npl_ratio,provision_coverage,provision_coverage_report_date,provision_coverage_source,cet1_ratio,capital_adequacy_ratio,net_interest_spread,loan_provision_ratio,loan_to_deposit_ratio,bank_special_metrics_report_date,bank_special_metrics_source,risk_free_rate,equity_risk_premium,beta,long_term_growth,roe_trend,nim_change,npl_ratio_change,provision_coverage_change,dividend_stable
2026-02-05,sh.601128,常熟银行,2026-02-05,2025-09-30,7.39,0.017906336088154173,8.966346474672802,1.264843,0.15148133333333333,3583346000.0,0.116429,0.4,0.3162447829493463,0.05412719891745603,0.824193,5.842622364989173,0.025699999999999997,0.0076,4.6295,2025-09-30,AKShare / Eastmoney financial indicators,None,None,0.024399999999999998,0.0352,0.8224611923344106,2025-09-30,AKShare / Eastmoney financial indicators,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
2026-07-02,sh.601128,常熟银行,2026-07-02,2026-03-31,5.94,0.017123287671233056,8.782149468044214,1.308508,0.150192,1284176000.0,0.102844,0.27,0.20634187945354557,0.045454545454545456,0.676372,4.5395213479780026,0.025,0.0075,4.381,2026-03-31,AKShare / Eastmoney financial indicators,0.11349999999999999,0.1264,0.023700000000000002,0.0327,0.821798086071327,2026-03-31,AKShare / Eastmoney financial indicators,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
2026-07-04,sh.601128,常熟银行,2026-07-03,2026-03-31,5.96,0.0033670033670032407,8.782153955874097,1.308508,0.150192,1284176000.0,0.102844,0.27,0.20634187945354557,0.045302013422818796,0.678649,4.554805931641228,0.025,0.0075,4.381,2026-03-31,AKShare / Eastmoney financial indicators,0.11349999999999999,0.1264,0.023700000000000002,0.0327,0.821798086071327,2026-03-31,AKShare / Eastmoney financial indicators,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
