date,close,pb
2016-11-16,25.59,1.486694
2016-11-17,28.15,1.635421
2016-11-18,30.24,1.756843
2016-11-21,28.49,1.655174
2016-11-22,28.43,1.651688
2016-11-23,28.28,1.642974
2016-11-24,27.28,1.584877
2016-11-25,27.39,1.591268
2016-11-28,27.31,1.58662
2016-11-29,26.53,1.541305
2016-11-30,26.2,1.522133
2016-12-01,26.3,1.527942
2016-12-02,25.74,1.495408
2016-12-05,25.8,1.498894
2016-12-06,25.87,1.502961
2016-12-07,25.99,1.509932
2016-12-08,26.25,1.525038
2016-12-09,26.2,1.522133
2016-12-12,24.98,1.451255
2016-12-13,24.55,1.426273
2016-12-14,24.53,1.425111
2016-12-15,24.44,1.419883
2016-12-16,24.31,1.41233
2016-12-19,23.8,1.382701
2016-12-20,23.8,1.382701
2016-12-21,24.23,1.407682
2016-12-22,24.01,1.394901
2016-12-23,23.54,1.367596
2016-12-26,23.6,1.371081
2016-12-27,23.38,1.3583
2016-12-28,23.19,1.347262
2016-12-29,23.24,1.350167
2016-12-30,23.28,1.35249
2017-01-03,23.59,1.3705
2017-01-04,23.72,1.378053
2017-01-05,23.5,1.365272
2017-01-06,23.16,1.345519
2017-01-09,23.24,1.350167
2017-01-10,22.98,1.335061
2017-01-11,22.54,1.309499
2017-01-12,22.29,1.294975
2017-01-13,22.04,1.280451
2017-01-16,22.42,1.302527
2017-01-17,22.45,1.30427
2017-01-18,22.29,1.294975
2017-01-19,22.55,1.31008
2017-01-20,22.94,1.332738
2017-01-23,23.03,1.337966
2017-01-24,22.95,1.333319
2017-01-25,23.02,1.337385
2017-01-26,23.28,1.35249
2017-02-03,22.93,1.332157
2017-02-06,23.04,1.338547
2017-02-07,22.8,1.324604
2017-02-08,23.01,1.336804
2017-02-09,23.12,1.343195
2017-02-10,23.45,1.362367
2017-02-13,24.12,1.401292
2017-02-14,23.88,1.387348
2017-02-15,24.12,1.401292
2017-02-16,24.19,1.405358
2017-02-17,23.71,1.377472
2017-02-20,24.92,1.447769
2017-02-21,24.56,1.426854
2017-02-22,24.28,1.410587
2017-02-23,24.27,1.410006
2017-02-24,24.29,1.411168
2017-02-27,23.95,1.391415
2017-02-28,24.48,1.422206
2017-03-01,24.23,1.407682
2017-03-02,24.35,1.414654
2017-03-03,24.04,1.396644
2017-03-06,24.12,1.401292
2017-03-07,24.15,1.403035
2017-03-08,23.97,1.392577
2017-03-09,23.66,1.374567
2017-03-10,23.64,1.373405
2017-03-13,23.6,1.371081
2017-03-14,23.84,1.385025
2017-03-15,23.85,1.385606
2017-03-16,24.32,1.412911
2017-03-17,24.05,1.397225
2017-03-20,24.29,1.411168
2017-03-21,24.15,1.403035
2017-03-22,23.73,1.378634
2017-03-23,23.77,1.380958
2017-03-24,23.87,1.386768
2017-03-27,24.14,1.402454
2017-03-28,23.93,1.390253
2017-03-29,23.6,1.371081
2017-03-30,23.08,1.340871
2017-03-31,23.98,1.393158
2017-04-05,23.84,1.385025
2017-04-06,23.8,1.382701
2017-04-07,23.83,1.384444
2017-04-10,23.59,1.3705
2017-04-11,23.74,1.379215
2017-04-12,23.47,1.363529
2017-04-13,23.36,1.357138
2017-04-14,23.09,1.341452
2017-04-17,22.78,1.323442
2017-04-18,22.57,1.311242
2017-04-19,22.72,1.319956
2017-04-20,22.46,1.304851
2017-04-21,22.58,1.311823
2017-04-24,22.7,1.177351
2017-04-25,22.9,1.187724
2017-04-26,22.88,1.186687
2017-04-27,22.73,1.178907
2017-04-28,22.69,1.136881
2017-05-02,22.35,1.119845
2017-05-03,22.49,1.12686
2017-05-04,22.48,1.126358
2017-05-05,22.18,1.111327
2017-05-08,22.14,1.109323
2017-05-09,22.68,1.136379
2017-05-10,22.83,1.143895
2017-05-11,22.68,1.136379
2017-05-12,23.16,1.16043
2017-05-15,23.18,1.161432
2017-05-16,23.14,1.159428
2017-05-17,23.3,1.167445
2017-05-18,23.04,1.154417
2017-05-19,22.96,1.150409
2017-05-22,22.6,1.132371
2017-05-23,22.81,1.142893
2017-05-24,22.58,1.131369
2017-05-25,23.44,1.174459
2017-05-26,23.55,1.179971
2017-05-31,23.9,1.197507
2017-06-01,24.44,1.224564
2017-06-02,24.73,1.239095
2017-06-05,24.32,1.218552
2017-06-06,24.54,1.229575
2017-06-07,24.57,1.231078
2017-06-08,24.99,1.252122
2017-06-09,25.07,1.25613
2017-06-12,24.57,1.231078
2017-06-13,24.63,1.234084
2017-06-14,24.16,1.210535
2017-06-15,24.3,1.217549
2017-06-16,24.22,1.213541
2017-06-19,24.5,1.22757
2017-06-20,24.39,1.222059
2017-06-21,24.84,1.244606
2017-06-22,25.33,1.269157
2017-06-23,25.58,1.281684
2017-06-26,25.45,1.27517
2017-06-27,25.67,1.286193
2017-06-28,25.37,1.271162
2017-06-29,25.63,1.284189
2017-06-30,25.54,1.27968
2017-07-03,25.44,1.274669
2017-07-04,25.04,1.254627
2017-07-05,25.39,1.272164
2017-07-06,25.2,1.262644
2017-07-07,25.23,1.264147
2017-07-10,25.01,1.253124
2017-07-11,25.33,1.269157
2017-07-12,25.88,1.296715
2017-07-13,26.12,1.30874
2017-07-14,26.07,1.306235
2017-07-17,26.31,1.31826
2017-07-18,26.63,1.334294
2017-07-19,27.21,1.363355
2017-07-20,20.45,1.332039
2017-07-21,19.95,1.299471
2017-07-24,20.34,1.324874
2017-07-25,19.94,1.29882
2017-07-26,19.75,1.286444
2017-07-27,19.8,1.289701
2017-07-28,19.8,1.289701
2017-07-31,19.75,1.286444
