requested_date,stock_code,stock_name,market_date,financial_report_date,current_price,daily_change_pct,bps,eps,roe,net_profit,profit_growth_yoy,dividend_per_share,payout_ratio,dividend_yield,pb_current,pe_current,nim,npl_ratio,provision_coverage,provision_coverage_report_date,provision_coverage_source,cet1_ratio,capital_adequacy_ratio,net_interest_spread,loan_provision_ratio,loan_to_deposit_ratio,bank_special_metrics_report_date,bank_special_metrics_source,risk_free_rate,equity_risk_premium,beta,long_term_growth,roe_trend,nim_change,npl_ratio_change,provision_coverage_change,dividend_stable
2026-02-05,sh.600015,华夏银行,2026-02-05,2025-09-30,6.58,0.015432098765431945,19.3886390825461,1.705757,0.06563866666666666,18466000000.0,-0.023066,0.405,0.23743124020596137,0.06155015197568389,0.339374,3.8575248408771006,0.0155,0.0158,1.4933,2025-09-30,AKShare / Eastmoney financial indicators,0.0933,0.1263,0.016200000000000003,0.0236,1.041314943393645,2025-09-30,AKShare / Eastmoney financial indicators,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
2026-07-02,sh.600015,华夏银行,2026-07-02,2026-03-31,6.61,0.023219814241486114,20.193009736024514,1.704312,0.050052,5120000000.0,-0.010054,0.1,0.05867470275395585,0.015128593040847202,0.327341,3.8783978520364815,0.0163,0.0155,1.4637,2026-03-31,AKShare / Eastmoney financial indicators,0.0897,0.1253,0.0166,0.0227,1.087089861186204,2026-03-31,AKShare / Eastmoney financial indicators,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
2026-07-04,sh.600015,华夏银行,2026-07-03,2026-03-31,6.66,0.0075642965204236745,20.19301612712504,1.704312,0.050052,5120000000.0,-0.010054,0.1,0.05867470275395585,0.015015015015015015,0.329817,3.9077352034134596,0.0163,0.0155,1.4637,2026-03-31,AKShare / Eastmoney financial indicators,0.0897,0.1253,0.0166,0.0227,1.087089861186204,2026-03-31,AKShare / Eastmoney financial indicators,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
