requested_date,stock_code,stock_name,market_date,financial_report_date,current_price,daily_change_pct,bps,eps,roe,net_profit,profit_growth_yoy,dividend_per_share,payout_ratio,dividend_yield,pb_current,pe_current,nim,npl_ratio,provision_coverage,provision_coverage_report_date,provision_coverage_source,cet1_ratio,capital_adequacy_ratio,net_interest_spread,loan_provision_ratio,loan_to_deposit_ratio,bank_special_metrics_report_date,bank_special_metrics_source,risk_free_rate,equity_risk_premium,beta,long_term_growth,roe_trend,nim_change,npl_ratio_change,provision_coverage_change,dividend_stable
2026-02-05,sh.600016,民生银行,2026-02-05,2025-09-30,3.84,0.01319261213720302,12.834439078193151,0.693246,0.057235999999999995,28539000000.0,-0.070875,0.198,0.2856128993171255,0.051562500000000004,0.299195,5.539159259483646,0.014199999999999999,0.0148,1.43,2025-09-30,AKShare / Eastmoney financial indicators,0.0925,0.12869999999999998,0.0132,0.0212,1.0425690654342206,2025-09-30,AKShare / Eastmoney financial indicators,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
2026-07-02,sh.600016,民生银行,2026-07-02,2026-03-31,3.27,0.006153846153846176,13.144460433968181,0.670018,0.06626,11491000000.0,-0.101001,0.251,0.3746168013396655,0.07675840978593272,0.248774,4.8804658979311,0.0143,0.0146,1.4194,2026-03-31,AKShare / Eastmoney financial indicators,0.0935,0.1276,0.013500000000000002,0.0207,1.0413059444777848,2026-03-31,AKShare / Eastmoney financial indicators,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
2026-07-04,sh.600016,民生银行,2026-07-03,2026-03-31,3.28,0.003058103975535076,13.144448674534633,0.670018,0.06626,11491000000.0,-0.101001,0.251,0.3746168013396655,0.07652439024390244,0.249535,4.895390870096027,0.0143,0.0146,1.4194,2026-03-31,AKShare / Eastmoney financial indicators,0.0935,0.1276,0.013500000000000002,0.0207,1.0413059444777848,2026-03-31,AKShare / Eastmoney financial indicators,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
2026-07-05,sh.600016,民生银行,2026-07-03,2026-03-31,3.28,0.003058103975535076,13.144448674534633,0.670018,0.06626,11491000000.0,-0.101001,0.251,0.3746168013396655,0.07652439024390244,0.249535,4.895390870096027,0.0143,0.0146,1.4194,2026-03-31,AKShare / Eastmoney financial indicators,0.0935,0.1276,0.013500000000000002,0.0207,1.0413059444777848,2026-03-31,AKShare / Eastmoney financial indicators,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
