requested_date,stock_code,stock_name,market_date,financial_report_date,current_price,daily_change_pct,bps,eps,roe,net_profit,profit_growth_yoy,dividend_per_share,payout_ratio,dividend_yield,pb_current,pe_current,nim,npl_ratio,provision_coverage,provision_coverage_report_date,provision_coverage_source,cet1_ratio,capital_adequacy_ratio,net_interest_spread,loan_provision_ratio,loan_to_deposit_ratio,bank_special_metrics_report_date,bank_special_metrics_source,risk_free_rate,equity_risk_premium,beta,long_term_growth,roe_trend,nim_change,npl_ratio_change,provision_coverage_change,dividend_stable
2026-06-24,sh.601998,中信银行,2026-06-24,2026-03-31,7.19,,13.34845787252687,1.279662,0.095904,20489000000.0,0.035687,0.5531999999999999,0.43230165465568243,0.07694019471488177,0.538639,5.618671180358564,0.0161,0.0115,2.0244999999999997,2026-03-31,AKShare / Eastmoney financial indicators,0.0933,0.1251,,,,2026-03-31,AKShare / Eastmoney financial indicators,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
2026-07-02,sh.601998,中信银行,2026-07-02,2026-03-31,6.96,0.011627906976744207,13.348446229351621,1.279662,0.095904,20489000000.0,0.035687,0.5531999999999999,0.43230165465568243,0.07948275862068964,0.521409,5.438936219095354,0.0161,0.0115,2.0244999999999997,2026-03-31,AKShare / Eastmoney financial indicators,0.0933,0.1251,None,0.0232,0.969656137914627,2026-03-31,AKShare / Eastmoney financial indicators,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
2026-07-04,sh.601998,中信银行,2026-07-03,2026-03-31,6.99,0.004310344827586299,13.348457766167103,1.279662,0.095904,20489000000.0,0.035687,0.5531999999999999,0.43230165465568243,0.07914163090128754,0.523656,5.462379909694904,0.0161,0.0115,2.0244999999999997,2026-03-31,AKShare / Eastmoney financial indicators,0.0933,0.1251,None,0.0232,0.969656137914627,2026-03-31,AKShare / Eastmoney financial indicators,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
