date,close,pb
2016-11-29,9.84,1.558631
2016-11-30,10.82,1.713861
2016-12-01,11.9,1.88493
2016-12-02,13.09,2.073423
2016-12-05,14.4,2.280924
2016-12-06,15.84,2.509016
2016-12-07,17.42,2.759284
2016-12-08,19.16,3.034895
2016-12-09,17.69,2.802051
2016-12-12,16.71,2.646822
2016-12-13,16.56,2.623062
2016-12-14,16.19,2.564455
2016-12-15,16.04,2.540695
2016-12-16,15.95,2.52644
2016-12-19,15.89,2.516936
2016-12-20,15.9,2.51852
2016-12-21,15.87,2.513768
2016-12-22,15.79,2.501096
2016-12-23,15.73,2.491592
2016-12-26,16.3,2.581879
2016-12-27,16.23,2.570791
2016-12-28,16.21,2.567623
2016-12-29,16.11,2.551783
2016-12-30,15.46,2.448825
2017-01-03,15.68,2.483672
2017-01-04,15.57,2.466249
2017-01-05,15.55,2.463081
2017-01-06,15.33,2.428233
2017-01-09,15.12,2.39497
2017-01-10,14.9,2.360122
2017-01-11,14.87,2.35537
2017-01-12,14.54,2.303099
2017-01-13,13.95,2.209645
2017-01-16,13.16,2.084511
2017-01-17,13.26,2.10035
2017-01-18,13.03,2.063919
2017-01-19,13.04,2.065503
2017-01-20,13.49,2.136782
2017-01-23,13.47,2.133614
2017-01-24,13.39,2.120942
2017-01-25,13.5,2.138366
2017-01-26,13.74,2.176381
2017-02-03,13.53,2.143118
2017-02-06,13.75,2.177965
2017-02-07,13.64,2.160541
2017-02-08,14.03,2.222316
2017-02-09,13.98,2.214397
2017-02-10,14.39,2.27934
2017-02-13,15.28,2.420313
2017-02-14,15.13,2.396554
2017-02-15,16.14,2.556535
2017-02-16,16.68,2.64207
2017-02-17,15.79,2.501096
2017-02-20,17.37,2.751364
2017-02-21,18.87,2.98896
2017-02-22,17.17,2.719685
2017-02-23,16.81,2.662661
2017-02-24,16.97,2.688005
2017-02-27,16.48,2.61039
2017-02-28,18.13,2.871746
2017-03-01,17.72,2.806803
2017-03-02,19.49,3.087167
2017-03-03,18.49,2.928769
2017-03-06,18.47,2.925601
2017-03-07,19.19,3.039647
2017-03-08,19.43,3.077663
2017-03-09,20.03,3.172701
2017-03-10,19.31,3.058655
2017-03-13,18.96,3.003216
2017-03-14,18.74,2.968369
2017-03-15,18.88,2.990544
2017-03-16,19.67,3.115678
2017-03-17,18.32,2.901842
2017-03-20,18.39,2.912929
2017-03-21,18.14,2.87333
2017-03-22,17.84,2.825811
2017-03-23,17.98,2.847986
