date,close,pb
2018-01-31,10.07,1.521949
2018-02-01,11.08,1.674597
2018-02-02,12.19,1.842359
2018-02-05,13.41,2.026746
2018-02-06,14.75,2.22927
2018-02-07,16.23,2.452953
2018-02-08,14.7,2.221713
2018-02-09,13.44,2.031281
2018-02-12,14.01,2.117429
2018-02-13,12.88,1.946644
2018-02-14,12.23,1.848405
2018-02-22,12.54,1.895257
2018-02-23,12.48,1.886189
2018-02-26,13.25,2.002565
2018-02-27,12.93,1.954201
2018-02-28,12.6,1.904326
2018-03-01,12.7,1.919439
2018-03-02,12.93,1.954201
2018-03-05,12.78,1.93153
2018-03-06,13.27,2.005587
2018-03-07,12.9,1.949667
2018-03-08,12.78,1.93153
2018-03-09,12.93,1.954201
2018-03-12,13.05,1.972337
2018-03-13,12.88,1.946644
2018-03-14,12.65,1.911882
2018-03-15,12.07,1.824223
2018-03-16,11.86,1.792484
2018-03-19,11.94,1.804575
2018-03-20,11.88,1.795507
2018-03-21,11.93,1.803064
2018-03-22,11.65,1.760745
2018-03-23,10.63,1.606586
2018-03-26,10.77,1.627745
2018-03-27,10.89,1.645881
2018-03-28,10.99,1.660995
2018-03-29,11.15,1.685177
2018-03-30,11.05,1.670063
2018-04-02,10.86,1.641347
2018-04-03,10.62,1.605074
2018-04-04,10.64,1.608097
2018-04-09,10.76,1.626234
2018-04-10,11.24,1.698779
2018-04-11,11.11,1.679131
2018-04-12,11.52,1.741098
2018-04-13,11.23,1.697268
2018-04-16,10.8,1.632279
2018-04-17,10.62,1.605074
2018-04-18,10.99,1.660995
2018-04-19,10.85,1.639836
2018-04-20,10.34,1.562756
2018-04-23,10.42,1.574847
2018-04-24,10.69,1.615654
2018-04-25,10.63,1.606586
2018-04-26,10.37,1.317042
2018-04-27,10.53,1.337363
2018-05-02,10.55,1.339903
2018-05-03,10.63,1.350064
2018-05-04,10.44,1.325933
2018-05-07,10.63,1.350064
2018-05-08,10.69,1.357684
2018-05-09,10.63,1.350064
2018-05-10,10.64,1.351334
2018-05-11,10.61,1.347523
2018-05-14,10.85,1.378005
2018-05-15,10.85,1.378005
2018-05-16,10.67,1.355144
2018-05-17,10.59,1.344983
2018-05-18,10.64,1.351334
2018-05-21,10.81,1.372924
2018-05-22,11.04,1.402136
2018-05-23,10.96,1.391975
2018-05-24,10.83,1.375465
2018-05-25,10.88,1.381815
2018-05-28,10.69,1.357684
2018-05-29,10.71,1.360224
2018-05-30,10.81,1.372924
2018-05-31,11.13,1.413566
2018-06-01,11.17,1.418646
2018-06-04,11.07,1.405946
2018-06-05,11.07,1.405946
2018-06-06,11.06,1.404676
2018-06-07,11.12,1.412296
2018-06-08,10.31,1.309422
2018-06-11,10.18,1.292911
2018-06-12,10.1,1.282751
2018-06-13,9.89,1.25608
2018-06-14,9.91,1.25862
2018-06-15,9.84,1.24973
2018-06-19,8.89,1.129075
2018-06-20,8.9,1.130345
2018-06-21,8.64,1.097324
2018-06-22,8.82,1.120184
2018-06-25,8.66,1.099864
2018-06-26,8.71,1.106214
2018-06-27,8.71,1.106214
2018-06-28,8.62,1.094783
2018-06-29,8.75,1.111294
2018-07-02,8.42,1.069382
2018-07-03,8.5,1.079543
2018-07-04,8.38,1.064302
2018-07-05,8.2,1.041441
2018-07-06,8.22,1.043981
2018-07-09,8.43,1.070652
2018-07-10,8.38,1.064302
2018-07-11,8.06,1.023661
2018-07-12,8.37,1.063032
2018-07-13,8.27,1.050332
2018-07-16,8.18,1.038901
2018-07-17,8.25,1.047792
2018-07-18,8.15,1.035091
2018-07-19,8.05,1.022391
2018-07-20,8.86,1.125265
2018-07-23,9.75,1.238299
2018-07-24,9.85,1.251
2018-07-25,10.05,1.276401
2018-07-26,9.89,1.25608
2018-07-27,9.49,1.205278
2018-07-30,9.44,1.198928
2018-07-31,9.47,1.202738
2018-08-01,9.05,1.149396
2018-08-02,9.17,1.164636
2018-08-03,8.99,1.141775
2018-08-06,9.09,1.154476
2018-08-07,9.29,1.179877
2018-08-08,9.02,1.145585
2018-08-09,9.13,1.159556
2018-08-10,9.09,1.154476
2018-08-13,8.83,1.121454
2018-08-14,8.82,1.120184
2018-08-15,8.52,1.082083
2018-08-16,8.53,1.083353
2018-08-17,8.33,1.057952
2018-08-20,8.55,1.085893
2018-08-21,8.66,1.099864
2018-08-22,8.55,1.082131
2018-08-23,8.69,1.09985
2018-08-24,9.3,1.177055
2018-08-27,9.24,1.169461
2018-08-28,9.09,1.150476
2018-08-29,9.11,1.153007
2018-08-30,8.98,1.136554
2018-08-31,8.92,1.12896
2018-09-03,8.78,1.111241
2018-09-04,8.96,1.134022
2018-09-05,8.69,1.09985
2018-09-06,8.71,1.102381
2018-09-07,8.78,1.111241
2018-09-10,8.72,1.103647
2018-09-11,8.89,1.125163
2018-09-12,8.99,1.137819
2018-09-13,9.06,1.146679
2018-09-14,8.89,1.125163
2018-09-17,8.75,1.107444
2018-09-18,8.95,1.132757
2018-09-19,9.01,1.140351
2018-09-20,8.97,1.135288
2018-09-21,9.48,1.199836
2018-09-25,9.19,1.163132
2018-09-26,9.19,1.163132
2018-09-27,9.03,1.142882
2018-09-28,9.23,1.168195
2018-10-08,8.97,1.135288
2018-10-09,9.03,1.142882
2018-10-10,9.05,1.145413
2018-10-11,8.32,1.053021
2018-10-12,8.47,1.072006
2018-10-15,8.22,1.040364
2018-10-16,8.08,1.022645
2018-10-17,8.14,1.030239
2018-10-18,8.03,1.016317
2018-10-19,8.19,1.036567
2018-10-22,8.62,1.09099
2018-10-23,8.35,1.056818
2018-10-24,8.65,1.094787
2018-10-25,8.82,1.116303
2018-10-26,8.66,1.096053
2018-10-29,8.45,1.069474
2018-10-30,8.65,1.094787
2018-10-31,8.75,1.057087
2018-11-01,8.71,1.052254
2018-11-02,8.97,1.083665
2018-11-05,8.92,1.077624
2018-11-06,8.77,1.059503
2018-11-07,8.64,1.043797
2018-11-08,8.66,1.046214
2018-11-09,8.46,1.022052
2018-11-12,8.55,1.032925
2018-11-13,8.67,1.047422
2018-11-14,8.6,1.038965
2018-11-15,8.75,1.057087
2018-11-16,8.82,1.065543
2018-11-19,9.1,1.09937
2018-11-20,8.79,1.061919
2018-11-21,8.78,1.060711
