requested_date,stock_code,stock_name,market_date,financial_report_date,current_price,daily_change_pct,bps,eps,roe,net_profit,profit_growth_yoy,dividend_per_share,payout_ratio,dividend_yield,pb_current,pe_current,nim,npl_ratio,provision_coverage,provision_coverage_report_date,provision_coverage_source,cet1_ratio,capital_adequacy_ratio,net_interest_spread,loan_provision_ratio,loan_to_deposit_ratio,bank_special_metrics_report_date,bank_special_metrics_source,risk_free_rate,equity_risk_premium,beta,long_term_growth,roe_trend,nim_change,npl_ratio_change,provision_coverage_change,dividend_stable
2026-06-25,sh.601988,中国银行,2026-06-24,2026-03-31,6.02,,8.483234338779795,0.761262,0.07346,60959000000.0,0.039475,0.1094,0.14370873628264644,0.018172757475083057,0.709635,7.907921320123688,0.0126,0.012199999999999999,2.0317,2026-03-31,AKShare / Eastmoney financial indicators,0.12179999999999999,0.18230000000000002,,,,2026-03-31,AKShare / Eastmoney financial indicators,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
2026-07-02,sh.601988,中国银行,2026-07-02,2026-03-31,5.58,-0.012389380530973493,8.48323421023826,0.761262,0.07346,60959000000.0,0.039475,0.1094,0.14370873628264644,0.01960573476702509,0.657768,7.329933715330596,0.0126,0.012199999999999999,2.0317,2026-03-31,AKShare / Eastmoney financial indicators,0.12179999999999999,0.18230000000000002,None,None,0.8998790182952764,2026-03-31,AKShare / Eastmoney financial indicators,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
2026-07-04,sh.601988,中国银行,2026-07-03,2026-03-31,5.56,-0.0035842293906810374,8.483239498939595,0.761262,0.07346,60959000000.0,0.039475,0.1094,0.14370873628264644,0.019676258992805756,0.65541,7.303661551476364,0.0126,0.012199999999999999,2.0317,2026-03-31,AKShare / Eastmoney financial indicators,0.12179999999999999,0.18230000000000002,None,None,0.8998790182952764,2026-03-31,AKShare / Eastmoney financial indicators,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
