date,close,pb
2016-08-02,9.03,1.475119
2016-08-03,9.93,1.62214
2016-08-04,10.92,1.783864
2016-08-05,12.01,1.961924
2016-08-08,11.46,1.872077
2016-08-09,12.19,1.991328
2016-08-10,12.68,2.071374
2016-08-11,12.39,2.024
2016-08-12,13.53,2.210228
2016-08-15,14.36,2.345814
2016-08-16,14.26,2.329479
2016-08-17,13.71,2.239632
2016-08-18,13.66,2.231464
2016-08-19,13.24,2.162854
2016-08-22,13.03,2.128549
2016-08-23,13.14,2.146518
2016-08-24,12.68,2.071374
2016-08-25,12.37,2.020733
2016-08-26,12.12,1.979893
2016-08-29,12.18,1.989695
2016-08-30,12.2,1.992962
2016-08-31,12.38,2.022366
2016-09-01,12.01,1.961924
2016-09-02,11.81,1.929253
2016-09-05,11.59,1.893314
2016-09-06,11.74,1.917818
2016-09-07,11.64,1.901482
2016-09-08,11.65,1.903115
2016-09-09,11.42,1.865543
2016-09-12,10.91,1.782231
2016-09-13,11.05,1.805101
2016-09-14,10.89,1.778964
2016-09-19,11.0,1.796933
2016-09-20,11.01,1.798567
2016-09-21,10.96,1.790399
2016-09-22,10.93,1.785498
2016-09-23,10.66,1.741391
2016-09-26,10.13,1.654812
2016-09-27,10.18,1.66298
2016-09-28,10.04,1.64011
2016-09-29,10.05,1.641743
2016-09-30,10.0,1.633575
2016-10-10,10.17,1.661346
2016-10-11,10.19,1.664613
2016-10-12,10.13,1.654812
2016-10-13,10.07,1.64501
2016-10-14,10.2,1.666247
2016-10-17,10.02,1.636843
2016-10-18,10.17,1.661346
2016-10-19,10.12,1.653178
2016-10-20,10.08,1.646644
2016-10-21,10.13,1.654812
2016-10-24,10.43,1.703819
2016-10-25,10.4,1.698918
2016-10-26,10.25,1.674415
2016-10-27,10.19,1.664613
2016-10-28,10.35,1.690751
2016-10-31,10.39,1.488629
2016-11-01,10.38,1.487196
2016-11-02,10.2,1.461406
2016-11-03,10.21,1.462839
2016-11-04,10.15,1.454243
2016-11-07,10.13,1.451377
2016-11-08,10.37,1.485763
2016-11-09,10.16,1.455675
2016-11-10,10.44,1.495792
2016-11-11,10.53,1.508687
2016-11-14,10.72,1.535909
2016-11-15,10.6,1.518716
2016-11-16,10.54,1.51012
2016-11-17,10.51,1.505822
2016-11-18,10.39,1.488629
2016-11-21,10.44,1.495792
2016-11-22,10.59,1.517284
2016-11-23,10.75,1.540208
2016-11-24,11.11,1.591787
2016-11-25,11.12,1.59322
2016-11-28,11.34,1.62474
2016-11-29,11.03,1.580325
2016-11-30,10.78,1.544506
2016-12-01,10.85,1.554535
2016-12-02,10.69,1.531611
2016-12-05,10.52,1.507254
2016-12-06,10.55,1.511553
2016-12-07,10.6,1.518716
2016-12-08,10.78,1.544506
2016-12-09,10.91,1.563132
2016-12-12,10.66,1.527313
2016-12-13,10.62,1.521582
2016-12-14,10.7,1.533044
2016-12-15,10.48,1.501523
2016-12-16,10.35,1.482898
2016-12-19,10.09,1.445646
2016-12-20,9.99,1.431319
2016-12-21,10.1,1.447079
2016-12-22,10.04,1.438482
2016-12-23,9.82,1.406962
2016-12-26,9.75,1.396933
2016-12-27,9.6,1.375441
2016-12-28,9.58,1.372576
2016-12-29,9.61,1.376874
2016-12-30,9.63,1.37974
2017-01-03,9.75,1.396933
2017-01-04,9.8,1.404096
2017-01-05,9.74,1.3955
2017-01-06,9.63,1.37974
2017-01-09,9.66,1.384038
2017-01-10,9.62,1.378307
2017-01-11,9.51,1.362547
2017-01-12,9.27,1.328161
2017-01-13,9.35,1.339623
2017-01-16,9.5,1.361114
2017-01-17,9.44,1.352517
2017-01-18,9.34,1.33819
2017-01-19,9.34,1.33819
2017-01-20,9.45,1.35395
2017-01-23,9.47,1.356816
2017-01-24,9.42,1.349652
2017-01-25,9.47,1.356816
2017-01-26,9.59,1.374009
2017-02-03,9.54,1.366845
2017-02-06,9.6,1.375441
2017-02-07,9.51,1.362547
2017-02-08,9.59,1.374009
2017-02-09,9.61,1.376874
2017-02-10,9.78,1.401231
2017-02-13,10.01,1.434184
2017-02-14,9.89,1.416991
2017-02-15,10.1,1.447079
2017-02-16,10.26,1.470003
2017-02-17,9.97,1.428453
2017-02-20,10.59,1.517284
2017-02-21,10.37,1.485763
