requested_date,stock_code,stock_name,market_date,financial_report_date,current_price,bps,eps,roe,net_profit,profit_growth_yoy,dividend_per_share,payout_ratio,dividend_yield,pb_current,pe_current,nim,npl_ratio,provision_coverage,provision_coverage_report_date,provision_coverage_source,cet1_ratio,capital_adequacy_ratio,net_interest_spread,loan_provision_ratio,loan_to_deposit_ratio,bank_special_metrics_report_date,bank_special_metrics_source,risk_free_rate,equity_risk_premium,beta,long_term_growth,roe_trend,nim_change,npl_ratio_change,provision_coverage_change,dividend_stable
2023-12-08,sh.601229,上海银行,2023-12-08,2023-09-30,5.84,14.912377017575666,1.580793,0.10204933333333333,17369772000.0,0.010258,0.4,0.2530375577321003,0.06849315068493152,0.391621,3.6943483428886643,None,0.0121,2.9002,2023-09-30,AKShare / Eastmoney financial indicators,0.0925,0.1313,None,0.035,0.8206862402991402,2023-09-30,AKShare / Eastmoney financial indicators,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
2026-06-25,sh.601229,上海银行,2026-06-24,2026-03-31,8.86,17.781559759888733,1.705605,0.097584,6327732000.0,0.005677,0.52,0.30487715502710183,0.058690744920993236,0.498269,5.19463767988485,None,0.0118,2.4130000000000003,2026-03-31,AKShare / Eastmoney financial indicators,0.1073,0.1402,None,0.028399999999999998,0.8129484382589192,2026-03-31,AKShare / Eastmoney financial indicators,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
