date,close,pb
2019-08-02,11.32,1.6108
2019-08-05,12.45,1.771596
2019-08-06,13.7,1.949467
2019-08-07,13.01,1.851282
2019-08-08,12.05,1.714677
2019-08-09,11.2,1.593725
2019-08-12,11.32,1.6108
2019-08-13,10.81,1.538229
2019-08-14,10.64,1.514039
2019-08-15,10.41,1.48131
2019-08-16,10.5,1.494117
2019-08-19,10.98,1.562419
2019-08-20,10.75,1.529691
2019-08-21,10.5,1.494117
2019-08-22,10.55,1.501232
2019-08-23,10.53,1.452942
2019-08-26,10.23,1.411548
2019-08-27,10.58,1.459842
2019-08-28,10.39,1.433625
2019-08-29,10.32,1.423966
2019-08-30,10.2,1.407409
2019-09-02,10.56,1.457082
2019-09-03,10.47,1.444664
2019-09-04,10.78,1.487438
2019-09-05,10.98,1.515034
2019-09-06,10.87,1.499856
2019-09-09,10.93,1.508135
2019-09-10,10.86,1.498476
2019-09-11,10.8,1.490197
2019-09-12,10.86,1.498476
2019-09-16,10.73,1.480539
2019-09-17,10.36,1.429486
2019-09-18,10.35,1.428106
2019-09-19,10.43,1.439144
2019-09-20,10.41,1.436385
2019-09-23,10.33,1.425346
2019-09-24,10.45,1.441904
2019-09-25,10.38,1.432245
2019-09-26,10.74,1.481919
2019-09-27,10.66,1.47088
2019-09-30,10.13,1.39775
2019-10-08,9.87,1.361875
2019-10-09,10.05,1.386711
2019-10-10,9.98,1.377053
2019-10-11,10.08,1.390851
2019-10-14,10.76,1.484678
2019-10-15,11.11,1.532972
2019-10-16,10.96,1.512274
2019-10-17,10.8,1.490197
2019-10-18,10.33,1.425346
2019-10-21,10.24,1.412928
2019-10-22,10.27,1.417067
2019-10-23,10.19,1.406029
2019-10-24,10.41,1.436385
2019-10-25,10.34,1.426726
2019-10-28,10.33,1.425346
2019-10-29,10.09,1.392231
2019-10-30,9.92,1.368774
2019-10-31,9.88,1.203029
2019-11-01,9.97,1.213988
2019-11-04,9.9,1.205464
2019-11-05,10.04,1.222511
2019-11-06,9.9,1.205464
2019-11-07,9.89,1.204247
2019-11-08,9.82,1.195723
2019-11-11,9.44,1.149453
2019-11-12,9.37,1.140929
2019-11-13,9.2,1.120229
2019-11-14,9.25,1.126318
2019-11-15,9.02,1.098312
2019-11-18,8.98,1.093441
2019-11-19,9.06,1.103182
2019-11-20,9.01,1.097094
2019-11-21,8.93,1.087353
2019-11-22,8.88,1.081265
2019-11-25,9.0,1.095877
2019-11-26,9.0,1.095877
2019-11-27,8.86,1.07883
2019-11-28,8.82,1.073959
2019-11-29,8.85,1.077612
2019-12-02,8.8,1.071524
2019-12-03,8.76,1.066653
2019-12-04,8.72,1.061783
2019-12-05,8.82,1.073959
2019-12-06,8.8,1.071524
2019-12-09,8.79,1.070306
2019-12-10,8.72,1.061783
2019-12-11,8.82,1.073959
2019-12-12,8.72,1.061783
2019-12-13,8.99,1.094659
2019-12-16,9.01,1.097094
2019-12-17,9.91,1.206682
2019-12-18,10.9,1.327228
2019-12-19,11.08,1.349146
2019-12-20,10.7,1.302875
2019-12-23,10.01,1.218858
2019-12-24,10.14,1.234688
2019-12-25,10.17,1.23834
2019-12-26,10.53,1.282176
2019-12-27,10.15,1.235905
2019-12-30,10.05,1.223729
2019-12-31,10.18,1.239558
2020-01-02,10.34,1.25904
2020-01-03,10.18,1.239558
2020-01-06,10.07,1.226164
2020-01-07,10.24,1.246864
2020-01-08,9.91,1.206682
2020-01-09,10.09,1.228599
2020-01-10,9.99,1.216423
2020-01-13,10.04,1.222511
2020-01-14,9.97,1.213988
2020-01-15,9.84,1.198158
2020-01-16,9.64,1.173806
2020-01-17,9.68,1.178676
2020-01-20,9.79,1.19207
2020-01-21,9.75,1.1872
2020-01-22,9.75,1.1872
2020-01-23,9.25,1.126318
2020-02-03,8.33,1.014295
