requested_date,stock_code,stock_name,market_date,financial_report_date,current_price,daily_change_pct,bps,eps,roe,net_profit,profit_growth_yoy,dividend_per_share,payout_ratio,dividend_yield,pb_current,pe_current,nim,npl_ratio,provision_coverage,provision_coverage_report_date,provision_coverage_source,cet1_ratio,capital_adequacy_ratio,net_interest_spread,loan_provision_ratio,loan_to_deposit_ratio,bank_special_metrics_report_date,bank_special_metrics_source,risk_free_rate,equity_risk_premium,beta,long_term_growth,roe_trend,nim_change,npl_ratio_change,provision_coverage_change,dividend_stable
2026-02-05,sz.002966,苏州银行,2026-02-05,2025-09-30,8.39,0.01696969696969708,11.218512283535532,1.200224,0.10653599999999999,4651626968.0,0.074309,0.41000000000000003,0.34160290079185224,0.04886769964243147,0.747871,6.99036179913083,0.0134,0.0083,4.2059,2025-09-30,AKShare / Eastmoney financial indicators,0.09789999999999999,0.13570000000000002,0.0134,0.0349,0.7816350393663689,2025-09-30,AKShare / Eastmoney financial indicators,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
2026-06-25,sz.002966,苏州银行,2026-06-24,2026-03-31,7.36,,11.588890410980476,1.224915,0.108676,1746185871.0,0.084668,0.36,0.2938979439389672,0.048913043478260865,0.635091,6.008580187196663,0.013999999999999999,0.008199999999999999,3.8116000000000003,2026-03-31,AKShare / Eastmoney financial indicators,0.0897,0.1356,,,,2026-03-31,AKShare / Eastmoney financial indicators,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
2026-07-02,sz.002966,苏州银行,2026-07-02,2026-03-31,7.15,0.014184397163120588,11.588894111545132,1.224915,0.108676,1746185871.0,0.084668,0.36,0.2938979439389672,0.050349650349650346,0.61697,5.837139719898932,0.013999999999999999,0.008199999999999999,3.8116000000000003,2026-03-31,AKShare / Eastmoney financial indicators,0.0897,0.1356,0.0139,0.031400000000000004,0.7722280097549681,2026-03-31,AKShare / Eastmoney financial indicators,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
2026-07-04,sz.002966,苏州银行,2026-07-03,2026-03-31,7.15,0.0,11.588894111545132,1.224915,0.108676,1746185871.0,0.084668,0.36,0.2938979439389672,0.050349650349650346,0.61697,5.837139719898932,0.013999999999999999,0.008199999999999999,3.8116000000000003,2026-03-31,AKShare / Eastmoney financial indicators,0.0897,0.1356,0.0139,0.031400000000000004,0.7722280097549681,2026-03-31,AKShare / Eastmoney financial indicators,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
